INFO 2019-06-07 16:51:45,659 logseparator.LogSeparatorApplication(run:40) - ------LOG SEPARATOR APPLICATION STARTED------
INFO 2019-06-07 16:52:21,719 impl.SeparatorServiceImpl(processLog:27) - Process Keys found: 2
INFO 2019-06-07 16:52:21,719 impl.SeparatorServiceImpl(getLogs:73) - Begin searching for all logs.
INFO 2019-06-07 16:52:21,719 impl.SeparatorServiceImpl(getAllProcessLogs:85) - Begin searching log for process key: [-1141097412]
INFO 2019-06-07 16:52:21,735 impl.SeparatorServiceImpl(getAllProcessLogs:97) - End searching log for process key: [-1141097412]
INFO 2019-06-07 16:52:21,735 impl.SeparatorServiceImpl(getAllProcessLogs:85) - Begin searching log for process key: [-1234567899]
INFO 2019-06-07 16:52:21,735 impl.SeparatorServiceImpl(getAllProcessLogs:97) - End searching log for process key: [-1234567899]
INFO 2019-06-07 16:52:21,735 impl.SeparatorServiceImpl(getLogs:80) - Amount of total logs row: 38
INFO 2019-06-07 16:52:21,735 impl.SeparatorServiceImpl(exportLog:101) - ------START EXPORTING LOGS------
INFO 2019-06-07 16:52:21,751 impl.SeparatorServiceImpl(exportLog:114) - ------END EXPORTING LOGS------
INFO 2019-06-07 16:52:23,938 logseparator.LogSeparatorApplication(run:66) - ------LOG SEPARATOR APPLICATION ENDED------
